time;e1;e2;e3;e4;e5;e6;e7;e8
0.22001;2.846245;2.583079;2.538068;2.420285;2.884685;2.030467;2.028495;2.025046
0.22101;2.845916;2.580943;2.53774;2.420449;2.885013;2.030631;2.028824;2.025374
0.22201;2.845423;2.580286;2.536918;2.42012;2.884685;2.030467;2.027838;2.024553
0.22301;2.845095;2.582586;2.538397;2.420449;2.884356;2.030795;2.02866;2.02521
0.22401;2.845259;2.584393;2.538068;2.420613;2.884849;2.031288;2.028988;2.025703
0.22501;2.844438;2.578151;2.536754;2.419792;2.884192;2.030467;2.028167;2.025046
0.22601;2.844438;2.580615;2.538232;2.420449;2.884356;2.031124;2.028495;2.02521
0.22701;2.844273;2.582422;2.53774;2.420449;2.88452;2.030795;2.028167;2.024881
0.22801;2.844109;2.584229;2.537904;2.420942;2.885013;2.031288;2.02866;2.025374
0.22901;2.842631;2.577987;2.537575;2.420285;2.884356;2.030467;2.028167;2.024881
0.23001;2.841645;2.581108;2.536918;2.420285;2.884685;2.030795;2.028167;2.024717
0.23101;2.841973;2.583572;2.538561;2.42127;2.885013;2.031452;2.028824;2.025703
0.23201;2.840824;2.584065;2.537411;2.42012;2.88452;2.030631;2.028331;2.025046
0.23301;2.840331;2.577165;2.538397;2.420613;2.88452;2.031124;2.028495;2.02521
0.23401;2.839509;2.579465;2.538397;2.420285;2.884192;2.030795;2.028167;2.024717
0.23501;2.839838;2.581765;2.538068;2.420613;2.88452;2.030795;2.02866;2.025374
0.23601;2.839838;2.582093;2.53774;2.420449;2.884356;2.030795;2.028003;2.024881
0.23701;2.839345;2.577165;2.538068;2.420285;2.884685;2.030302;2.027674;2.024553
0.23801;2.839017;2.579958;2.537904;2.420613;2.884685;2.030631;2.028167;2.025046
0.23901;2.839345;2.581601;2.538068;2.420449;2.884356;2.030467;2.028167;2.024717
0.24001;2.839674;2.581765;2.538068;2.420942;2.884192;2.030467;2.028167;2.02521
0.24101;2.839345;2.578644;2.537411;2.420285;2.884192;2.029974;2.028003;2.024881
0.24201;2.838688;2.581436;2.538068;2.420778;2.88452;2.030631;2.028495;2.025374
0.24301;2.838688;2.583079;2.538232;2.420942;2.884849;2.030631;2.028167;2.025374
0.24401;2.838688;2.581601;2.537247;2.420285;2.884027;2.02981;2.02751;2.024389
0.24501;2.837702;2.576837;2.53774;2.420778;2.884849;2.030467;2.028331;2.025046
0.24601;2.838031;2.578972;2.53774;2.420778;2.88452;2.030138;2.028167;2.025046
0.24701;2.837702;2.580779;2.53774;2.420942;2.88452;2.030138;2.028003;2.02521
0.24801;2.837538;2.575522;2.537411;2.420449;2.884027;2.029974;2.027838;2.024881
0.24901;2.83721;2.577494;2.537904;2.421106;2.884685;2.030138;2.028331;2.025374
0.25001;2.837702;2.579136;2.538068;2.420942;2.88452;2.030302;2.028167;2.025374
0.25101;2.837045;2.580286;2.537083;2.420285;2.883863;2.029645;2.02751;2.024717
0.25201;2.836552;2.57503;2.537575;2.420778;2.884356;2.02981;2.028003;2.025046
0.25301;2.83606;2.577822;2.537083;2.420449;2.884192;2.029645;2.027838;2.024881
0.25401;2.83606;2.579629;2.538068;2.420778;2.884849;2.029974;2.028167;2.025374
0.25501;2.836224;2.580451;2.538068;2.420449;2.884027;2.029153;2.027674;2.024881
0.25601;2.836388;2.57388;2.538232;2.420778;2.884685;2.02981;2.028331;2.02521
0.25701;2.836881;2.576344;2.537904;2.42127;2.884849;2.030138;2.028167;2.025703
0.25801;2.83606;2.577329;2.536918;2.420613;2.884027;2.029317;2.027838;2.024717
0.25901;2.835731;2.578808;2.537904;2.420778;2.884356;2.029481;2.028003;2.025046
0.26001;2.836224;2.577165;2.537411;2.420778;2.884027;2.029317;2.027674;2.025046
0.26101;2.835567;2.579794;2.538068;2.420942;2.88452;2.02981;2.028167;2.024881
0.26201;2.835074;2.581272;2.538068;2.420942;2.884027;2.028824;2.02751;2.024717
0.26301;2.835403;2.582422;2.538068;2.421106;2.884685;2.029645;2.028003;2.02521
0.26401;2.836881;2.576344;2.538068;2.421599;2.885342;2.02981;2.028331;2.026031
0.26501;2.836224;2.577329;2.537083;2.420778;2.884027;2.029153;2.027674;2.024881
0.26601;2.836388;2.579958;2.537904;2.421435;2.88452;2.029317;2.027838;2.02521
0.26701;2.835895;2.584229;2.53774;2.420778;2.88452;2.029153;2.027838;2.024881
0.26801;2.836552;2.57618;2.538397;2.421106;2.884685;2.029645;2.028003;2.025374
0.26901;2.83606;2.578151;2.537083;2.420942;2.884192;2.028824;2.027346;2.024717
0.27001;2.836388;2.579794;2.537575;2.42127;2.884356;2.029317;2.027181;2.024717
0.27101;2.836224;2.575851;2.538068;2.421763;2.885013;2.029974;2.028331;2.025374
0.27201;2.835731;2.575194;2.53774;2.420942;2.884192;2.029153;2.027838;2.024717
0.27301;2.836224;2.577658;2.537083;2.42127;2.88452;2.029481;2.027674;2.025046
0.27401;2.835403;2.578972;2.53774;2.420942;2.884356;2.028988;2.027674;2.024717
0.27501;2.835567;2.574044;2.537411;2.42127;2.88452;2.029481;2.027838;2.02521
0.27601;2.835074;2.575522;2.536918;2.420942;2.884027;2.028988;2.027674;2.024553
0.27701;2.836717;2.577822;2.537575;2.421106;2.884685;2.029153;2.027674;2.025046
0.27801;2.83606;2.579794;2.537904;2.421599;2.885177;2.029481;2.028003;2.025539
0.27901;2.835074;2.573223;2.537247;2.42127;2.884356;2.02866;2.027346;2.025046
0.28001;2.835567;2.575522;2.538068;2.421106;2.884356;2.029153;2.027838;2.025046
0.28101;2.835895;2.577329;2.537575;2.421435;2.884356;2.029153;2.027346;2.024881
0.28201;2.83606;2.578644;2.537411;2.421435;2.884849;2.029317;2.028003;2.02521
